drug_name,reaction,pair_count,ROR,p_value,max_cusum,alert_quarters,cusum_signal,max_ewma,ewma_signal,confidence_score,confidence_label
humira,Radiotherapy,63,12.87,1.8399999999999997e-52,,,False,,False,1,Low — ROR only
zantac,Spinal cord neoplasm,149,12.8,1.15e-63,,,False,,False,1,Low — ROR only
humira,Spinal deformity,303,12.68,4.8300000000000007e-247,,,False,,False,1,Low — ROR only
humira,Bone loss,220,12.67,1.38e-179,,,False,,False,1,Low — ROR only
humira,Autonomic nervous system imbalance,86,12.6,1.44e-70,,,False,,False,1,Low — ROR only
jardiance,Glycosylated haemoglobin increased,1456,12.52,0.0,,,False,,False,1,Low — ROR only
humira,Intraocular pressure decreased,74,12.47,1.6299999999999998e-60,,,False,,False,1,Low — ROR only
jardiance,Urine output increased,76,12.44,2.24e-92,,,False,,False,1,Low — ROR only
humira,Histone antibody positive,46,12.4,8.339999999999999e-38,,,False,,False,1,Low — ROR only
humira,Disease complication,106,12.32,9.13e-86,,,False,,False,1,Low — ROR only
humira,Self-consciousness,510,12.28,0.0,,,False,,False,1,Low — ROR only
humira,Calcinosis,375,12.27,3.23e-300,,,False,,False,1,Low — ROR only
jardiance,Vulvovaginal burning sensation,52,12.26,9.88e-63,,,False,,False,1,Low — ROR only
humira,Respiratory arrest,176,12.23,3.0999999999999997e-141,,,False,,False,1,Low — ROR only
humira,Procedural site reaction,58,12.22,4.1700000000000002e-47,,,False,,False,1,Low — ROR only
humira,Thyroid function test abnormal,123,12.19,7.73e-99,,,False,,False,1,Low — ROR only
humira,Hospice care,217,12.19,1.3800000000000001e-173,,,False,,False,1,Low — ROR only
humira,Bundle branch block left,182,12.14,1.74e-145,,,False,,False,1,Low — ROR only
humira,Heart valve stenosis,45,12.13,1.38e-36,,,False,,False,1,Low — ROR only
humira,Gastrointestinal tube insertion,61,12.09,3.06e-49,,,False,,False,1,Low — ROR only
humira,Stress cardiomyopathy,162,12.0,8.93e-129,,,False,,False,1,Low — ROR only
humira,Glomerular filtration rate abnormal,64,11.98,2.24e-51,,,False,,False,1,Low — ROR only
jardiance,Total lung capacity decreased,31,11.98,5.8e-37,,,False,,False,1,Low — ROR only
humira,Bone neoplasm,71,11.96,7.350000000000001e-57,,,False,,False,1,Low — ROR only
jardiance,Rash morbilliform,48,11.93,7.89e-57,,,False,,False,1,Low — ROR only
zantac,Cholangiocarcinoma,263,11.85,2.0399999999999998e-108,,,False,,False,1,Low — ROR only
humira,Unevaluable event,10048,11.73,0.0,,,False,,False,1,Low — ROR only
humira,Bone infarction,52,11.68,2.46e-41,,,False,,False,1,Low — ROR only
jardiance,Blood glucose abnormal,665,11.64,0.0,,,False,,False,1,Low — ROR only
humira,Hepatitis B,170,11.57,1.8e-132,,,False,,False,1,Low — ROR only
humira,Asphyxia,396,11.55,7.99e-307,,,False,,False,1,Low — ROR only
humira,Arthroscopy,65,11.53,4.18e-51,,,False,,False,1,Low — ROR only
humira,Oxygen therapy,46,11.48,2.56e-36,,,False,,False,1,Low — ROR only
jardiance,Hyperglycaemic hyperosmolar nonketotic syndrome,44,11.34,2.73e-50,,,False,,False,1,Low — ROR only
humira,Benign neoplasm of skin,47,11.31,8.53e-37,,,False,,False,1,Low — ROR only
humira,Procedural failure,47,11.31,8.53e-37,,,False,,False,1,Low — ROR only
jardiance,Pneumonia fungal,132,11.27,4.5399999999999995e-149,,,False,,False,1,Low — ROR only
humira,Triple negative breast cancer,45,11.23,3.9900000000000003e-35,,,False,,False,1,Low — ROR only
humira,Posture abnormal,55,11.23,9.28e-43,,,False,,False,1,Low — ROR only
humira,Urinary bladder suspension,79,11.09,1.26e-60,,,False,,False,1,Low — ROR only
humira,Gallbladder rupture,123,11.05,1.08e-93,,,False,,False,1,Low — ROR only
humira,Ocular procedural complication,85,11.02,6.5e-65,,,False,,False,1,Low — ROR only
humira,Enterocolitis haemorrhagic,57,10.98,1.01e-43,,,False,,False,1,Low — ROR only
humira,Nerve block,430,10.94,0.0,,,False,,False,1,Low — ROR only
